channel1,channel2
-8.07,-8.07
-8.37,-8.37
-6.66,-6.66
-2.71,-2.71
1.45,1.45
3.07,3.07
2.68,2.68
1.29,1.29
-0.34,-0.34
-1.7,-1.7
-3.05,-3.05
-3.64,-3.64
-4.22,-4.22
-5.05,-5.05
-5.87,-5.87
-6.18,-6.18
-5.23,-5.23
-3.29,-3.29
-0.62,-0.62
2.52,2.52
5.39,5.39
7.48,7.48
8.04,8.04
6.86,6.86
4.18,4.18
1.78,1.78
0.89,0.89
1.77,1.77
4.14,4.14
5.98,5.98
6.56,6.56
5.88,5.88
5.46,5.46
6.29,6.29
7.61,7.61
8.42,8.42
8.22,8.22
7.02,7.02
6.33,6.33
6.14,6.14
6.96,6.96
8.02,8.02
8.81,8.81
9.35,9.35
9.88,9.88
10.91,10.91
12.42,12.42
13.67,13.67
14.16,14.16
13.38,13.38
11.37,11.37
7.87,7.87
3.65,3.65
-0.28,-0.28
-3.43,-3.43
-5.54,-5.54
-6.14,-6.14
-4.73,-4.73
-1.83,-1.83
0.79,0.79
0.89,0.89
-1.26,-1.26
-5.14,-5.14
-9.24,-9.24
-12.3,-12.3
-14.08,-14.08
-15.09,-15.09
-15.09,-15.09
-14.58,-14.58
-14.33,-14.33
-14.33,-14.33
-14.82,-14.82
-15.32,-15.32
-16.8,-16.8
-19.02,-19.02
-22.46,-22.46
-26.12,-26.12
-28.98,-28.98
-30.83,-30.83
-30.9,-30.9
-29.71,-29.71
-27.78,-27.78
-25.37,-25.37
-23.47,-23.47
-22.34,-22.34
-23.45,-23.45
-27.06,-27.06
-31.88,-31.88
-36.16,-36.16
-38.39,-38.39
-38.09,-38.09
-35.54,-35.54
-31.76,-31.76
-28.51,-28.51
-26.77,-26.77
-27.81,-27.81
-29.83,-29.83
-31.58,-31.58
-32.05,-32.05
-30.77,-30.77
-28.75,-28.75
-26.23,-26.23
-23.49,-23.49
-19.77,-19.77
-14.59,-14.59
-7.69,-7.69
-0.36,-0.36
5.66,5.66
9.37,9.37
10.55,10.55
10.46,10.46
10.12,10.12
10.03,10.03
10.95,10.95
12.34,12.34
13.23,13.23
12.61,12.61
10.49,10.49
7.89,7.89
5.81,5.81
4.76,4.76
4.2,4.2
4.66,4.66
5.36,5.36
